FECHA,PRODUCTO,SECTOR,PRECIO MEDIO,PROCEDENCIA
2018-01,NUECES,FRUTAS,4.32,MercaMadrid
2018-01,PAPAYOS,FRUTAS,2.71,MercaMadrid
2018-01,PATATAS,PATATAS,0.28,MercaMadrid
2018-01,PEPINOS,HORTALIZAS,1.08,MercaMadrid
2018-01,PERAS,FRUTAS,1.25,MercaMadrid
2018-01,PEREJIL,HORTALIZAS,0.70,MercaMadrid
2018-01,PIMIENTAS,HORTALIZAS,0.01,MercaMadrid
2018-01,PIMIENTOS,HORTALIZAS,1.89,MercaMadrid
2018-01,PIÑA,FRUTAS,0.72,MercaMadrid
2018-01,PLATANOS,FRUTAS,0.98,MercaMadrid
2018-01,POMELOS,FRUTAS,1.02,MercaMadrid
2018-01,PUERROS,HORTALIZAS,0.82,MercaMadrid
2018-01,RABANOS,HORTALIZAS,0.72,MercaMadrid
2018-01,REMOLACHA,HORTALIZAS,1.74,MercaMadrid
2018-01,RESTO DE FRUTAS,FRUTAS,0.01,MercaMadrid
2018-01,RESTO HORTALIZAS,HORTALIZAS,0.01,MercaMadrid
2018-01,ROMANESCU,HORTALIZAS,1.55,MercaMadrid
2018-01,SANDIAS,FRUTAS,0.85,MercaMadrid
2018-01,SETAS,HORTALIZAS,6.86,MercaMadrid
2018-01,TAMARINDO,FRUTAS,4.44,MercaMadrid
2018-01,TIRABEQUES,HORTALIZAS,4.31,MercaMadrid
2018-01,TOMATES,HORTALIZAS,1.19,MercaMadrid
2018-01,UVAS,FRUTAS,2.62,MercaMadrid
2018-01,YAME,HORTALIZAS,2.00,MercaMadrid
2018-01,YUCA,HORTALIZAS,1.20,MercaMadrid
2018-01,ZANAHORIAS,HORTALIZAS,0.55,MercaMadrid
2018-02,ACEITUNAS,FRUTAS,3.46,MercaMadrid
2018-02,ACELGAS,HORTALIZAS,0.70,MercaMadrid
2018-02,AGUACATES,FRUTAS,4.11,MercaMadrid
2018-02,AJOS,HORTALIZAS,1.73,MercaMadrid
2018-02,ALBARICOQUES,FRUTAS,2.25,MercaMadrid
2018-02,ALCACHOFAS,HORTALIZAS,1.36,MercaMadrid
2018-02,APIO,HORTALIZAS,0.91,MercaMadrid
2018-02,BATATAS,HORTALIZAS,0.94,MercaMadrid
2018-02,BELLOTAS,FRUTAS,0.01,MercaMadrid
2018-02,BERENJENAS,HORTALIZAS,1.19,MercaMadrid
2018-02,BONIATOS,HORTALIZAS,1.59,MercaMadrid
2018-02,BORRAJAS,HORTALIZAS,1.00,MercaMadrid
2018-02,BROCOLI,HORTALIZAS,0.77,MercaMadrid
2018-02,CALABACINES,HORTALIZAS,0.86,MercaMadrid
2018-02,CALABAZAS,HORTALIZAS,0.55,MercaMadrid
2018-02,CAQUIS,FRUTAS,1.40,MercaMadrid
2018-02,CARAMBOLA,FRUTAS,9.00,MercaMadrid
2018-02,CARLOTAS,HORTALIZAS,0.01,MercaMadrid
2018-02,CASTAÑAS,FRUTAS,2.97,MercaMadrid
2018-02,CEBOLLAS,HORTALIZAS,0.96,MercaMadrid
2018-02,CEREZAS,FRUTAS,10.14,MercaMadrid
2018-02,CHAMPIÑON,HORTALIZAS,1.58,MercaMadrid
2018-02,CHIRIMOYAS,FRUTAS,3.11,MercaMadrid
2018-02,CHIRIVIAS,HORTALIZAS,1.00,MercaMadrid
2018-02,CIRUELAS,FRUTAS,2.68,MercaMadrid
2018-02,COCOS,FRUTAS,1.30,MercaMadrid
2018-02,COLES-REPOLLO,HORTALIZAS,0.71,MercaMadrid
2018-02,COLIFLORES,HORTALIZAS,1.37,MercaMadrid
2018-02,DATILES,FRUTAS,9.00,MercaMadrid
2018-02,ENDIVIAS,HORTALIZAS,1.15,MercaMadrid
2018-02,ESCAROLAS,HORTALIZAS,0.56,MercaMadrid
2018-02,ESPARRAGOS,HORTALIZAS,5.44,MercaMadrid
2018-02,ESPINACAS,HORTALIZAS,0.65,MercaMadrid
2018-02,FRAMBUESAS,FRUTAS,14.13,MercaMadrid
2018-02,FRESONES,FRUTAS,2.62,MercaMadrid
2018-02,FRUTOS SECOS,FRUTAS,5.73,MercaMadrid
2018-02,GRANADAS,FRUTAS,1.51,MercaMadrid
2018-02,GRELOS,HORTALIZAS,0.60,MercaMadrid
2018-02,GROSELLA,FRUTAS,28.00,MercaMadrid
2018-02,GUAYABOS,FRUTAS,6.33,MercaMadrid
2018-02,GUINDILLAS,HORTALIZAS,1.35,MercaMadrid
2018-02,GUISANTES,HORTALIZAS,2.90,MercaMadrid
2018-02,HABAS VERDES,HORTALIZAS,1.68,MercaMadrid
2018-02,HINOJO,HORTALIZAS,1.30,MercaMadrid
2018-02,JENGIBRE,HORTALIZAS,1.85,MercaMadrid
2018-02,JUDIAS VERDES,HORTALIZAS,3.60,MercaMadrid
2018-02,KIWI,FRUTAS,3.76,MercaMadrid
2018-02,LAUREL,HORTALIZAS,0.25,MercaMadrid
2018-02,LECHUGAS,HORTALIZAS,0.39,MercaMadrid
2018-02,LIMA,FRUTAS,1.92,MercaMadrid
2018-02,LIMONES,FRUTAS,1.00,MercaMadrid
2018-02,LOMBARDA,HORTALIZAS,0.40,MercaMadrid
2018-02,MACHE,HORTALIZAS,8.00,MercaMadrid
2018-02,MAIZ,HORTALIZAS,4.17,MercaMadrid
2018-02,MANDARINAS,FRUTAS,1.17,MercaMadrid
2018-02,MANGOS,FRUTAS,3.93,MercaMadrid
2018-02,MANZANAS,FRUTAS,1.44,MercaMadrid
2018-02,MELOCOTONES,FRUTAS,3.25,MercaMadrid
2018-02,MELONES,FRUTAS,1.26,MercaMadrid
2018-02,NABOS,HORTALIZAS,0.80,MercaMadrid
2018-02,NARANJAS,FRUTAS,0.80,MercaMadrid
2018-02,NECTARINAS,FRUTAS,2.55,MercaMadrid
2018-02,NUECES,FRUTAS,4.18,MercaMadrid
2018-02,PAPAYOS,FRUTAS,2.71,MercaMadrid
2018-02,PARAGUAYAS,FRUTAS,4.80,MercaMadrid
2018-02,PATATAS,PATATAS,0.29,MercaMadrid
2018-02,PEPINOS,HORTALIZAS,1.15,MercaMadrid
2018-02,PERAS,FRUTAS,1.72,MercaMadrid
2018-02,PEREJIL,HORTALIZAS,0.70,MercaMadrid
2018-02,PIMIENTAS,HORTALIZAS,0.01,MercaMadrid
2018-02,PIMIENTOS,HORTALIZAS,1.96,MercaMadrid
2018-02,PIÑA,FRUTAS,1.15,MercaMadrid
2018-02,PLATANOS,FRUTAS,0.96,MercaMadrid
2018-02,POMELOS,FRUTAS,1.00,MercaMadrid
2018-02,PUERROS,HORTALIZAS,0.62,MercaMadrid
2018-02,RABANOS,HORTALIZAS,1.09,MercaMadrid
2018-02,REMOLACHA,HORTALIZAS,1.78,MercaMadrid
2018-02,RESTO DE FRUTAS,FRUTAS,0.01,MercaMadrid
2018-02,RESTO HORTALIZAS,HORTALIZAS,0.01,MercaMadrid
2018-02,ROMANESCU,HORTALIZAS,1.99,MercaMadrid
2018-02,SANDIAS,FRUTAS,1.51,MercaMadrid
2018-02,SETAS,HORTALIZAS,6.56,MercaMadrid
2018-02,TABELLA,HORTALIZAS,0.01,MercaMadrid
2018-02,TIRABEQUES,HORTALIZAS,4.23,MercaMadrid
2018-02,TOMATES,HORTALIZAS,1.17,MercaMadrid
2018-02,UVAS,FRUTAS,2.53,MercaMadrid
2018-02,YUCA,HORTALIZAS,1.20,MercaMadrid
2018-02,ZANAHORIAS,HORTALIZAS,0.55,MercaMadrid
2018-03,ACEITUNAS,FRUTAS,3.46,MercaMadrid
2018-03,ACELGAS,HORTALIZAS,0.65,MercaMadrid
2018-03,AGUACATES,FRUTAS,4.44,MercaMadrid
2018-03,AJOS,HORTALIZAS,1.80,MercaMadrid
2018-03,ALBARICOQUES,FRUTAS,2.25,MercaMadrid
2018-03,ALCACHOFAS,HORTALIZAS,1.25,MercaMadrid
2018-03,APIO,HORTALIZAS,0.77,MercaMadrid
2018-03,BATATAS,HORTALIZAS,1.00,MercaMadrid
2018-03,BERENJENAS,HORTALIZAS,0.85,MercaMadrid
2018-03,BERROS,HORTALIZAS,11.00,MercaMadrid
2018-03,BONIATOS,HORTALIZAS,1.60,MercaMadrid
2018-03,BORRAJAS,HORTALIZAS,1.00,MercaMadrid
2018-03,BROCOLI,HORTALIZAS,0.83,MercaMadrid
2018-03,CALABACINES,HORTALIZAS,0.72,MercaMadrid
2018-03,CALABAZAS,HORTALIZAS,0.61,MercaMadrid
2018-03,CAQUIS,FRUTAS,1.40,MercaMadrid
2018-03,CARDOS,HORTALIZAS,0.70,MercaMadrid
2018-03,CEBOLLAS,HORTALIZAS,1.06,MercaMadrid
2018-03,CEREZAS,FRUTAS,9.00,MercaMadrid
2018-03,CHAMPIÑON,HORTALIZAS,1.52,MercaMadrid
2018-03,CHIRIMOYAS,FRUTAS,3.08,MercaMadrid
2018-03,CHIRIVIAS,HORTALIZAS,1.00,MercaMadrid
2018-03,CIRUELAS,FRUTAS,2.53,MercaMadrid
2018-03,COCOS,FRUTAS,1.30,MercaMadrid
2018-03,COLES-REPOLLO,HORTALIZAS,0.69,MercaMadrid
2018-03,COLIFLORES,HORTALIZAS,1.87,MercaMadrid
2018-03,DATILES,FRUTAS,9.00,MercaMadrid
2018-03,ENDIVIAS,HORTALIZAS,1.13,MercaMadrid
2018-03,ESCAROLAS,HORTALIZAS,0.56,MercaMadrid
2018-03,ESPARRAGOS,HORTALIZAS,6.24,MercaMadrid
2018-03,ESPINACAS,HORTALIZAS,0.62,MercaMadrid
2018-03,FRAMBUESAS,FRUTAS,12.22,MercaMadrid
2018-03,FRESONES,FRUTAS,2.17,MercaMadrid
2018-03,FRUTOS SECOS,FRUTAS,6.36,MercaMadrid
2018-03,GRANADAS,FRUTAS,2.68,MercaMadrid
2018-03,GRELOS,HORTALIZAS,0.60,MercaMadrid
2018-03,GUAYABOS,FRUTAS,6.33,MercaMadrid
2018-03,GUINDILLAS,HORTALIZAS,1.25,MercaMadrid
2018-03,GUISANTES,HORTALIZAS,3.09,MercaMadrid
2018-03,HABAS VERDES,HORTALIZAS,1.63,MercaMadrid
2018-03,HIGOS,FRUTAS,4.00,MercaMadrid
2018-03,HINOJO,HORTALIZAS,1.30,MercaMadrid
2018-03,JENGIBRE,HORTALIZAS,1.81,MercaMadrid
2018-03,JUDIAS VERDES,HORTALIZAS,4.44,MercaMadrid
2018-03,KIWI,FRUTAS,3.91,MercaMadrid
2018-03,LAUREL,HORTALIZAS,0.25,MercaMadrid
2018-03,LECHUGAS,HORTALIZAS,0.36,MercaMadrid
2018-03,LIMA,FRUTAS,1.63,MercaMadrid
2018-03,LIMONES,FRUTAS,1.00,MercaMadrid
2018-03,LOMBARDA,HORTALIZAS,0.41,MercaMadrid
2018-03,MACHE,HORTALIZAS,8.00,MercaMadrid
2018-03,MAIZ,HORTALIZAS,4.17,MercaMadrid
2018-03,MANDARINAS,FRUTAS,1.23,MercaMadrid
2018-03,MANGOS,FRUTAS,3.93,MercaMadrid
2018-03,MANZANAS,FRUTAS,1.53,MercaMadrid
2018-03,MELOCOTONES,FRUTAS,3.42,MercaMadrid
2018-03,MELONES,FRUTAS,1.27,MercaMadrid
2018-03,NABOS,HORTALIZAS,0.80,MercaMadrid
2018-03,NARANJAS,FRUTAS,0.83,MercaMadrid
2018-03,NECTARINAS,FRUTAS,2.26,MercaMadrid
2018-03,NUECES,FRUTAS,4.60,MercaMadrid
2018-03,PAPAYA GIGANTE,FRUTAS,2.56,MercaMadrid
2018-03,PAPAYOS,FRUTAS,2.71,MercaMadrid
2018-03,PATATAS,PATATAS,0.31,MercaMadrid
2018-03,PEPINOS,HORTALIZAS,1.00,MercaMadrid
2018-03,PERAS,FRUTAS,1.54,MercaMadrid
2018-03,PEREJIL,HORTALIZAS,0.70,MercaMadrid
2018-03,PIMIENTAS,HORTALIZAS,0.01,MercaMadrid
2018-03,PIMIENTOS,HORTALIZAS,1.88,MercaMadrid
2018-03,PIÑA,FRUTAS,1.15,MercaMadrid
2018-03,PLATANOS,FRUTAS,1.02,MercaMadrid
2018-03,POMELOS,FRUTAS,1.00,MercaMadrid
2018-03,PUERROS,HORTALIZAS,0.77,MercaMadrid
2018-03,RABANOS,HORTALIZAS,1.09,MercaMadrid
2018-03,REMOLACHA,HORTALIZAS,1.78,MercaMadrid
2018-03,RESTO DE FRUTAS,FRUTAS,0.01,MercaMadrid
2018-03,RESTO HORTALIZAS,HORTALIZAS,0.01,MercaMadrid
2018-03,ROMANESCU,HORTALIZAS,2.67,MercaMadrid
2018-03,SANDIAS,FRUTAS,1.37,MercaMadrid
2018-03,SETAS,HORTALIZAS,6.22,MercaMadrid
2018-03,TIRABEQUES,HORTALIZAS,4.71,MercaMadrid
2018-03,TOMATES,HORTALIZAS,1.31,MercaMadrid
2018-03,UVAS,FRUTAS,2.49,MercaMadrid
2018-03,YAME,HORTALIZAS,2.10,MercaMadrid
2018-03,YUCA,HORTALIZAS,1.10,MercaMadrid
2018-03,ZANAHORIAS,HORTALIZAS,0.64,MercaMadrid
2018-04,ACEITUNAS,FRUTAS,3.46,MercaMadrid
2018-04,ACELGAS,HORTALIZAS,0.71,MercaMadrid
2018-04,AGUACATES,FRUTAS,4.45,MercaMadrid
2018-04,AJOS,HORTALIZAS,1.65,MercaMadrid
2018-04,ALBARICOQUES,FRUTAS,3.64,MercaMadrid
2018-04,ALCACHOFAS,HORTALIZAS,1.32,MercaMadrid
2018-04,APIO,HORTALIZAS,0.75,MercaMadrid
2018-04,BATATAS,HORTALIZAS,1.00,MercaMadrid
2018-04,BERENJENAS,HORTALIZAS,0.68,MercaMadrid
2018-04,BERROS,HORTALIZAS,11.00,MercaMadrid
2018-04,BONIATOS,HORTALIZAS,1.60,MercaMadrid
2018-04,BORRAJAS,HORTALIZAS,1.40,MercaMadrid
2018-04,BROCOLI,HORTALIZAS,0.99,MercaMadrid
2018-04,CALABACINES,HORTALIZAS,0.66,MercaMadrid
2018-04,CALABAZAS,HORTALIZAS,0.65,MercaMadrid
2018-04,CAQUIS,FRUTAS,1.40,MercaMadrid
2018-04,CARDOS,HORTALIZAS,0.70,MercaMadrid
2018-04,CEBOLLAS,HORTALIZAS,1.15,MercaMadrid
2018-04,CEREZAS,FRUTAS,28.33,MercaMadrid
2018-04,CHAMPIÑON,HORTALIZAS,1.64,MercaMadrid
2018-04,CHIRIMOYAS,FRUTAS,2.70,MercaMadrid
2018-04,CHIRIVIAS,HORTALIZAS,1.50,MercaMadrid
2018-04,CIRUELAS,FRUTAS,2.09,MercaMadrid
2018-04,COCOS,FRUTAS,1.30,MercaMadrid
2018-04,COLES-REPOLLO,HORTALIZAS,0.75,MercaMadrid
2018-04,COLIFLORES,HORTALIZAS,1.60,MercaMadrid
2018-04,DATILES,FRUTAS,9.00,MercaMadrid
2018-04,ENDIVIAS,HORTALIZAS,1.13,MercaMadrid
2018-04,ESCAROLAS,HORTALIZAS,0.68,MercaMadrid
2018-04,ESPARRAGOS,HORTALIZAS,5.25,MercaMadrid
2018-04,ESPINACAS,HORTALIZAS,1.08,MercaMadrid
2018-04,FRAMBUESAS,FRUTAS,12.00,MercaMadrid
2018-04,FRESONES,FRUTAS,1.60,MercaMadrid
2018-04,FRUTOS SECOS,FRUTAS,6.27,MercaMadrid
2018-04,GRANADAS,FRUTAS,3.39,MercaMadrid
2018-04,GRELOS,HORTALIZAS,0.62,MercaMadrid
2018-04,GUINDILLAS,HORTALIZAS,1.50,MercaMadrid
2018-04,GUISANTES,HORTALIZAS,3.03,MercaMadrid
2018-04,HABAS VERDES,HORTALIZAS,2.22,MercaMadrid
2018-04,HINOJO,HORTALIZAS,1.25,MercaMadrid
2018-04,JENGIBRE,HORTALIZAS,1.63,MercaMadrid
2018-04,JUDIAS VERDES,HORTALIZAS,2.96,MercaMadrid
2018-04,KIWI,FRUTAS,4.60,MercaMadrid
2018-04,LAUREL,HORTALIZAS,0.25,MercaMadrid
2018-04,LECHUGAS,HORTALIZAS,0.42,MercaMadrid
2018-04,LIMA,FRUTAS,1.75,MercaMadrid
2018-04,LIMONES,FRUTAS,1.03,MercaMadrid
2018-04,LITCHIS,FRUTAS,5.50,MercaMadrid
2018-04,LOMBARDA,HORTALIZAS,0.40,MercaMadrid
2018-04,MANDARINAS,FRUTAS,1.24,MercaMadrid
2018-04,MANGA,FRUTAS,1.00,MercaMadrid
2018-04,MANGOS,FRUTAS,3.34,MercaMadrid
2018-04,MANZANAS,FRUTAS,1.58,MercaMadrid
2018-04,MARACUYA,FRUTAS,6.80,MercaMadrid
2018-04,MELOCOTONES,FRUTAS,4.40,MercaMadrid
2018-04,MELONES,FRUTAS,1.53,MercaMadrid
2018-04,MEMBRILLOS,FRUTAS,0.80,MercaMadrid
2018-04,NABOS,HORTALIZAS,0.80,MercaMadrid
2018-04,NARANJAS,FRUTAS,0.78,MercaMadrid
2018-04,NECTARINAS,FRUTAS,2.59,MercaMadrid
2018-04,NISPEROS,FRUTAS,2.73,MercaMadrid
2018-04,NUECES,FRUTAS,4.60,MercaMadrid
2018-04,PAPAYA GIGANTE,FRUTAS,2.67,MercaMadrid
2018-04,PAPAYOS,FRUTAS,2.71,MercaMadrid
2018-04,PARAGUAYAS,FRUTAS,3.71,MercaMadrid
2018-04,PATATAS,PATATAS,0.35,MercaMadrid
2018-04,PEPINOS,HORTALIZAS,0.61,MercaMadrid
2018-04,PERAS,FRUTAS,1.57,MercaMadrid
2018-04,PEREJIL,HORTALIZAS,0.70,MercaMadrid
2018-04,PIMIENTAS,HORTALIZAS,0.01,MercaMadrid
2018-04,PIMIENTOS,HORTALIZAS,1.22,MercaMadrid
2018-04,PIÑA,FRUTAS,0.97,MercaMadrid
2018-04,PLATANOS,FRUTAS,0.91,MercaMadrid
2018-04,POMELOS,FRUTAS,1.00,MercaMadrid
2018-04,PUERROS,HORTALIZAS,0.78,MercaMadrid
2018-04,RABANOS,HORTALIZAS,1.06,MercaMadrid
2018-04,RAMBUTAN,FRUTAS,12.00,MercaMadrid
2018-04,REMOLACHA,HORTALIZAS,1.78,MercaMadrid
2018-04,RESTO DE FRUTAS,FRUTAS,0.01,MercaMadrid
2018-04,RESTO HORTALIZAS,HORTALIZAS,0.01,MercaMadrid
2018-04,ROMANESCU,HORTALIZAS,2.63,MercaMadrid
2018-04,SANDIAS,FRUTAS,1.26,MercaMadrid
2018-04,SETAS,HORTALIZAS,6.06,MercaMadrid
2018-04,TIRABEQUES,HORTALIZAS,3.49,MercaMadrid
2018-04,TOMATES,HORTALIZAS,1.28,MercaMadrid
2018-04,UVAS,FRUTAS,2.42,MercaMadrid
2018-04,YUCA,HORTALIZAS,1.10,MercaMadrid
2018-04,ZANAHORIAS,HORTALIZAS,0.80,MercaMadrid
2018-05,ACEITUNAS,FRUTAS,3.46,MercaMadrid
2018-05,ACELGAS,HORTALIZAS,0.90,MercaMadrid
2018-05,AGUACATES,FRUTAS,4.16,MercaMadrid
2018-05,AJOS,HORTALIZAS,1.65,MercaMadrid
2018-05,ALBARICOQUES,FRUTAS,1.42,MercaMadrid
2018-05,ALCACHOFAS,HORTALIZAS,1.14,MercaMadrid
2018-05,APIO,HORTALIZAS,0.78,MercaMadrid
2018-05,BATATAS,HORTALIZAS,1.00,MercaMadrid
2018-05,BERENJENAS,HORTALIZAS,0.80,MercaMadrid
2018-05,BONIATOS,HORTALIZAS,1.60,MercaMadrid
2018-05,BORRAJAS,HORTALIZAS,1.80,MercaMadrid
2018-05,BREVAS,FRUTAS,4.17,MercaMadrid
2018-05,BROCOLI,HORTALIZAS,1.08,MercaMadrid
2018-05,CALABACINES,HORTALIZAS,0.80,MercaMadrid
2018-05,CALABAZAS,HORTALIZAS,0.65,MercaMadrid
2018-05,CAQUIS,FRUTAS,3.00,MercaMadrid
2018-05,CARDOS,HORTALIZAS,0.70,MercaMadrid
2018-05,CARLOTAS,HORTALIZAS,0.01,MercaMadrid
2018-05,CEBOLLAS,HORTALIZAS,1.03,MercaMadrid
2018-05,CEREZAS,FRUTAS,3.51,MercaMadrid
2018-05,CHAMPIÑON,HORTALIZAS,1.67,MercaMadrid
2018-05,CHIRIMOYAS,FRUTAS,2.57,MercaMadrid
2018-05,CHIRIVIAS,HORTALIZAS,1.50,MercaMadrid
2018-05,CIRUELAS,FRUTAS,1.99,MercaMadrid
2018-05,COCOS,FRUTAS,1.30,MercaMadrid
2018-05,COLES-REPOLLO,HORTALIZAS,0.59,MercaMadrid
2018-05,COLIFLORES,HORTALIZAS,2.28,MercaMadrid
2018-05,DATILES,FRUTAS,9.20,MercaMadrid
2018-05,ENDIVIAS,HORTALIZAS,1.13,MercaMadrid
2018-05,ESCAROLAS,HORTALIZAS,0.67,MercaMadrid
2018-05,ESPARRAGOS,HORTALIZAS,3.75,MercaMadrid
2018-05,ESPINACAS,HORTALIZAS,1.00,MercaMadrid
2018-05,FRAMBUESAS,FRUTAS,10.75,MercaMadrid
2018-05,FRESONES,FRUTAS,1.48,MercaMadrid
2018-05,FRESQUILLAS,FRUTAS,0.60,MercaMadrid
2018-05,FRUTOS SECOS,FRUTAS,6.27,MercaMadrid
2018-05,GARROFON,HORTALIZAS,1.40,MercaMadrid
2018-05,GRANADAS,FRUTAS,2.50,MercaMadrid
2018-05,GRELOS,HORTALIZAS,0.62,MercaMadrid
2018-05,GUAYABOS,FRUTAS,6.33,MercaMadrid
2018-05,GUISANTES,HORTALIZAS,2.57,MercaMadrid
2018-05,HABAS VERDES,HORTALIZAS,1.56,MercaMadrid
2018-05,HINOJO,HORTALIZAS,1.25,MercaMadrid
2018-05,JENGIBRE,HORTALIZAS,1.55,MercaMadrid
2018-05,JUDIAS VERDES,HORTALIZAS,2.29,MercaMadrid
2018-05,KIWI,FRUTAS,3.61,MercaMadrid
2018-05,LAUREL,HORTALIZAS,0.25,MercaMadrid
2018-05,LECHUGAS,HORTALIZAS,0.49,MercaMadrid
2018-05,LIMA,FRUTAS,2.78,MercaMadrid
2018-05,LIMONES,FRUTAS,1.29,MercaMadrid
2018-05,LOMBARDA,HORTALIZAS,0.41,MercaMadrid
2018-05,MAIZ,HORTALIZAS,4.17,MercaMadrid
2018-05,MANDARINAS,FRUTAS,0.95,MercaMadrid
2018-05,MANGA,FRUTAS,1.00,MercaMadrid
2018-05,MANGOS,FRUTAS,2.24,MercaMadrid
2018-05,MANZANAS,FRUTAS,1.64,MercaMadrid
2018-05,MARACUYA,FRUTAS,7.00,MercaMadrid
2018-05,MELOCOTONES,FRUTAS,2.42,MercaMadrid
2018-05,MELONES,FRUTAS,1.47,MercaMadrid
2018-05,NABOS,HORTALIZAS,0.80,MercaMadrid
2018-05,NARANJAS,FRUTAS,0.80,MercaMadrid
2018-05,NECTARINAS,FRUTAS,1.86,MercaMadrid
2018-05,NISPEROS,FRUTAS,2.40,MercaMadrid
2018-05,NUECES,FRUTAS,4.60,MercaMadrid
2018-05,PAPAYA GIGANTE,FRUTAS,2.67,MercaMadrid
2018-05,PAPAYOS,FRUTAS,2.71,MercaMadrid
2018-05,PARAGUAYAS,FRUTAS,1.88,MercaMadrid
2018-05,PATATAS,PATATAS,0.40,MercaMadrid
2018-05,PEPINOS,HORTALIZAS,0.94,MercaMadrid
2018-05,PERAS,FRUTAS,1.51,MercaMadrid
2018-05,PEREJIL,HORTALIZAS,0.70,MercaMadrid
2018-05,PIMIENTAS,HORTALIZAS,0.01,MercaMadrid
2018-05,PIMIENTOS,HORTALIZAS,1.34,MercaMadrid
2018-05,PITAHAYA,FRUTAS,9.50,MercaMadrid
