Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
03-2018,2018,3,Aragon,VERDURAS DE HOJA,455.49,748.38,1.64,32.26,0.35,0.57
03-2018,2018,3,Aragon,BERENJENAS,122.91,180.83,1.47,25.04,0.09,0.14
03-2018,2018,3,Aragon,ZANAHORIAS,296.97,253.55,0.85,47.02,0.23,0.19
03-2018,2018,3,Aragon,CALABACINES,490.27,676.07,1.38,55.98,0.37,0.51
03-2018,2018,3,Aragon,OTR.HORTALIZAS/VERD.,2002.67,3679.08,1.84,82.72,1.53,2.8
03-2018,2018,3,Aragon,BROCOLI,239.32,311.2,1.3,26.7,0.18,0.24
03-2018,2018,3,Aragon,ALCACHOFAS,464.55,698.85,1.5,43.49,0.35,0.53
03-2018,2018,3,Aragon,VERD./HORT. IV GAMA,740.09,1893.89,2.56,62.18,0.56,1.44
03-2018,2018,3,Asturias,TOTAL PATATAS,2552.95,2055.24,0.81,75.44,2.35,1.9
03-2018,2018,3,Asturias,PATATAS FRESCAS,1952.69,1403.31,0.72,65.04,1.8,1.29
03-2018,2018,3,Asturias,PATATAS CONGELADAS,107.7,128.55,1.19,10.17,0.1,0.12
03-2018,2018,3,Asturias,PATATAS PROCESADAS,98.51,523.38,5.31,38.23,0.09,0.48
03-2018,2018,3,Asturias,T.HORTALIZAS FRESCAS,3701.71,7008.99,1.89,93.71,3.41,6.46
03-2018,2018,3,Asturias,TOMATES,673.14,1220.53,1.81,76.08,0.62,1.13
03-2018,2018,3,Asturias,CEBOLLAS,636.18,744.26,1.17,66.37,0.59,0.69
03-2018,2018,3,Asturias,AJOS,79.26,349.24,4.41,48.72,0.07,0.32
03-2018,2018,3,Asturias,COLES,92.61,112.08,1.21,13.24,0.09,0.1
03-2018,2018,3,Asturias,PEPINOS,69.28,109.02,1.57,18.02,0.06,0.1
03-2018,2018,3,Asturias,JUDIAS VERDES,61.7,175.1,2.84,19.44,0.06,0.16
03-2018,2018,3,Asturias,PIMIENTOS,406.8,808.22,1.99,63.14,0.38,0.75
03-2018,2018,3,Asturias,CHAMPIÑONES+O.SETAS,115.23,487.87,4.23,40.2,0.11,0.45
03-2018,2018,3,Asturias,LECHUGA/ESC./ENDIVIA,250.18,610.51,2.44,48.81,0.23,0.56
03-2018,2018,3,Asturias,ESPARRAGOS,48.15,84.14,1.75,5.43,0.04,0.08
03-2018,2018,3,Asturias,VERDURAS DE HOJA,74.49,162.89,2.19,12.9,0.07,0.15
03-2018,2018,3,Asturias,BERENJENAS,83.17,117.29,1.41,27.01,0.08,0.11
03-2018,2018,3,Asturias,ZANAHORIAS,218.7,213.4,0.98,41.09,0.2,0.2
03-2018,2018,3,Asturias,CALABACINES,220.55,287.97,1.31,44.24,0.2,0.27
03-2018,2018,3,Asturias,OTR.HORTALIZAS/VERD.,672.28,1526.47,2.27,71.39,0.62,1.41
03-2018,2018,3,Asturias,BROCOLI,104.48,153.19,1.47,25.07,0.1,0.14
03-2018,2018,3,Asturias,ALCACHOFAS,86.8,123.05,1.42,17.05,0.08,0.11
03-2018,2018,3,Asturias,VERD./HORT. IV GAMA,526.42,1366.21,2.6,55.97,0.49,1.26
03-2018,2018,3,Baleares,TOTAL PATATAS,2987.12,2483.91,0.83,81.13,2.9,2.41
03-2018,2018,3,Baleares,PATATAS FRESCAS,2099.59,1480.23,0.71,75.7,2.04,1.44
03-2018,2018,3,Baleares,PATATAS CONGELADAS,106.78,132.73,1.24,10.45,0.1,0.13
03-2018,2018,3,Baleares,PATATAS PROCESADAS,156.15,870.95,5.58,51.99,0.15,0.85
03-2018,2018,3,Baleares,T.HORTALIZAS FRESCAS,5728.03,10921.54,1.91,95.81,5.56,10.6
03-2018,2018,3,Baleares,TOMATES,1231.45,2027.78,1.65,87.79,1.2,1.97
03-2018,2018,3,Baleares,CEBOLLAS,871.71,1013.16,1.16,80.46,0.85,0.98
03-2018,2018,3,Baleares,AJOS,60.98,263.95,4.33,36.55,0.06,0.26
03-2018,2018,3,Baleares,COLES,92.78,109.87,1.18,20.12,0.09,0.11
03-2018,2018,3,Baleares,PEPINOS,104.61,179.9,1.72,18.48,0.1,0.17
03-2018,2018,3,Baleares,JUDIAS VERDES,105.03,379.02,3.61,29.02,0.1,0.37
03-2018,2018,3,Baleares,PIMIENTOS,561.25,1126.5,2.01,69.46,0.54,1.09
03-2018,2018,3,Baleares,CHAMPIÑONES+O.SETAS,109.3,472.4,4.32,49.54,0.11,0.46
03-2018,2018,3,Baleares,LECHUGA/ESC./ENDIVIA,237.29,758.8,3.2,62.93,0.23,0.74
03-2018,2018,3,Baleares,ESPARRAGOS,15.02,86.31,5.75,7.03,0.01,0.08
03-2018,2018,3,Baleares,VERDURAS DE HOJA,74.58,222.45,2.98,23.08,0.07,0.22
03-2018,2018,3,Baleares,BERENJENAS,169.77,279.56,1.65,44.54,0.16,0.27
03-2018,2018,3,Baleares,ZANAHORIAS,339.44,289.15,0.85,54.03,0.33,0.28
03-2018,2018,3,Baleares,CALABACINES,317.75,501.25,1.58,49.23,0.31,0.49
03-2018,2018,3,Baleares,OTR.HORTALIZAS/VERD.,1437.06,3211.45,2.23,83.98,1.39,3.12
03-2018,2018,3,Baleares,BROCOLI,152.76,251.77,1.65,30.38,0.15,0.24
03-2018,2018,3,Baleares,ALCACHOFAS,428.0,642.82,1.5,53.05,0.42,0.62
03-2018,2018,3,Baleares,VERD./HORT. IV GAMA,541.74,1787.28,3.3,68.71,0.53,1.73
03-2018,2018,3,Canarias,TOTAL PATATAS,5155.5,4898.74,0.95,77.57,2.36,2.24
03-2018,2018,3,Canarias,PATATAS FRESCAS,4183.69,3910.27,0.93,66.4,1.91,1.79
03-2018,2018,3,Canarias,PATATAS CONGELADAS,311.13,319.11,1.03,16.12,0.14,0.15
03-2018,2018,3,Canarias,PATATAS PROCESADAS,132.14,669.36,5.07,37.49,0.06,0.31
03-2018,2018,3,Canarias,T.HORTALIZAS FRESCAS,10900.84,19963.16,1.83,97.72,4.99,9.13
03-2018,2018,3,Canarias,TOMATES,1877.49,3040.57,1.62,84.8,0.86,1.39
03-2018,2018,3,Canarias,CEBOLLAS,1544.34,1637.43,1.06,77.18,0.71,0.75
03-2018,2018,3,Canarias,AJOS,122.77,490.22,3.99,40.2,0.06,0.22
03-2018,2018,3,Canarias,COLES,204.11,249.17,1.22,20.69,0.09,0.11
03-2018,2018,3,Canarias,PEPINOS,317.29,464.29,1.46,30.35,0.15,0.21
03-2018,2018,3,Canarias,JUDIAS VERDES,364.14,588.92,1.62,21.41,0.17,0.27
03-2018,2018,3,Canarias,PIMIENTOS,1161.19,2136.8,1.84,72.7,0.53,0.98
03-2018,2018,3,Canarias,CHAMPIÑONES+O.SETAS,301.28,975.03,3.24,41.13,0.14,0.45
03-2018,2018,3,Canarias,LECHUGA/ESC./ENDIVIA,322.59,1202.97,3.73,47.4,0.15,0.55
03-2018,2018,3,Canarias,ESPARRAGOS,39.39,123.15,3.13,4.76,0.02,0.06
03-2018,2018,3,Canarias,VERDURAS DE HOJA,107.11,348.18,3.25,23.18,0.05,0.16
03-2018,2018,3,Canarias,BERENJENAS,145.85,266.28,1.83,15.26,0.07,0.12
03-2018,2018,3,Canarias,ZANAHORIAS,930.65,854.48,0.92,67.09,0.43,0.39
03-2018,2018,3,Canarias,CALABACINES,1198.7,1553.22,1.3,69.14,0.55,0.71
03-2018,2018,3,Canarias,OTR.HORTALIZAS/VERD.,2263.95,6032.46,2.66,85.61,1.04,2.76
03-2018,2018,3,Canarias,BROCOLI,109.25,266.81,2.44,11.86,0.05,0.12
03-2018,2018,3,Canarias,ALCACHOFAS,37.24,105.76,2.84,2.51,0.02,0.05
03-2018,2018,3,Canarias,VERD./HORT. IV GAMA,1825.89,4114.91,2.25,71.11,0.84,1.88
03-2018,2018,3,Cantabria,TOTAL PATATAS,1709.27,1372.77,0.8,80.63,3.07,2.47
03-2018,2018,3,Cantabria,PATATAS FRESCAS,1392.19,1056.52,0.76,57.78,2.5,1.9
03-2018,2018,3,Cantabria,PATATAS CONGELADAS,76.73,85.02,1.11,14.97,0.14,0.15
03-2018,2018,3,Cantabria,PATATAS PROCESADAS,48.07,231.23,4.81,37.39,0.09,0.42
03-2018,2018,3,Cantabria,T.HORTALIZAS FRESCAS,1875.96,3166.49,1.69,95.39,3.37,5.69
03-2018,2018,3,Cantabria,TOMATES,317.1,562.06,1.77,62.66,0.57,1.01
03-2018,2018,3,Cantabria,CEBOLLAS,297.07,303.12,1.02,65.43,0.53,0.54
03-2018,2018,3,Cantabria,AJOS,27.13,134.04,4.94,24.0,0.05,0.24
03-2018,2018,3,Cantabria,COLES,18.75,21.86,1.17,9.72,0.03,0.04
03-2018,2018,3,Cantabria,PEPINOS,45.65,76.31,1.67,17.52,0.08,0.14
03-2018,2018,3,Cantabria,JUDIAS VERDES,45.58,131.59,2.89,20.58,0.08,0.24
03-2018,2018,3,Cantabria,PIMIENTOS,208.5,404.08,1.94,68.78,0.37,0.73
03-2018,2018,3,Cantabria,CHAMPIÑONES+O.SETAS,44.24,131.24,2.97,24.84,0.08,0.24
03-2018,2018,3,Cantabria,LECHUGA/ESC./ENDIVIA,97.25,294.98,3.03,44.56,0.17,0.53
03-2018,2018,3,Cantabria,ESPARRAGOS,27.97,20.16,0.72,3.24,0.05,0.04
03-2018,2018,3,Cantabria,VERDURAS DE HOJA,24.3,56.06,2.31,16.59,0.04,0.1
03-2018,2018,3,Cantabria,BERENJENAS,36.11,54.8,1.52,20.25,0.06,0.1
03-2018,2018,3,Cantabria,ZANAHORIAS,202.95,160.0,0.79,61.41,0.36,0.29
03-2018,2018,3,Cantabria,CALABACINES,138.58,185.46,1.34,48.76,0.25,0.33
03-2018,2018,3,Cantabria,OTR.HORTALIZAS/VERD.,344.76,630.72,1.83,62.23,0.62,1.13
03-2018,2018,3,Cantabria,BROCOLI,51.22,76.97,1.5,21.9,0.09,0.14
03-2018,2018,3,Cantabria,ALCACHOFAS,46.18,72.82,1.58,16.77,0.08,0.13
03-2018,2018,3,Cantabria,VERD./HORT. IV GAMA,203.67,544.09,2.67,50.7,0.37,0.98
03-2018,2018,3,Castilla La Mancha,TOTAL PATATAS,4854.0,3837.29,0.79,79.26,2.31,1.83
03-2018,2018,3,Castilla La Mancha,PATATAS FRESCAS,3380.82,2198.3,0.65,65.74,1.61,1.05
03-2018,2018,3,Castilla La Mancha,PATATAS CONGELADAS,262.72,310.85,1.18,19.68,0.13,0.15
03-2018,2018,3,Castilla La Mancha,PATATAS PROCESADAS,242.09,1328.13,5.49,51.57,0.12,0.63
03-2018,2018,3,Castilla La Mancha,T.HORTALIZAS FRESCAS,9127.26,15770.06,1.73,97.94,4.35,7.52
03-2018,2018,3,Castilla La Mancha,TOMATES,2222.72,3369.84,1.52,78.84,1.06,1.61
03-2018,2018,3,Castilla La Mancha,CEBOLLAS,917.62,927.31,1.01,59.32,0.44,0.44
03-2018,2018,3,Castilla La Mancha,AJOS,139.57,545.34,3.91,41.65,0.07,0.26
03-2018,2018,3,Castilla La Mancha,COLES,218.07,230.78,1.06,15.95,0.1,0.11
03-2018,2018,3,Castilla La Mancha,PEPINOS,279.64,428.08,1.53,24.48,0.13,0.2
03-2018,2018,3,Castilla La Mancha,JUDIAS VERDES,275.22,799.16,2.9,33.67,0.13,0.38
03-2018,2018,3,Castilla La Mancha,PIMIENTOS,743.85,1358.87,1.83,53.85,0.35,0.65
03-2018,2018,3,Castilla La Mancha,CHAMPIÑONES+O.SETAS,445.84,1260.93,2.83,50.62,0.21,0.6
03-2018,2018,3,Castilla La Mancha,LECHUGA/ESC./ENDIVIA,355.67,1035.29,2.91,56.86,0.17,0.49
03-2018,2018,3,Castilla La Mancha,ESPARRAGOS,207.63,461.62,2.22,17.15,0.1,0.22
03-2018,2018,3,Castilla La Mancha,VERDURAS DE HOJA,207.87,426.26,2.05,24.26,0.1,0.2
03-2018,2018,3,Castilla La Mancha,BERENJENAS,150.21,225.69,1.5,21.95,0.07,0.11
03-2018,2018,3,Castilla La Mancha,ZANAHORIAS,539.35,455.32,0.84,60.25,0.26,0.22
03-2018,2018,3,Castilla La Mancha,CALABACINES,721.03,994.48,1.38,58.7,0.34,0.47
03-2018,2018,3,Castilla La Mancha,OTR.HORTALIZAS/VERD.,1702.97,3251.09,1.91,77.51,0.81,1.55
03-2018,2018,3,Castilla La Mancha,BROCOLI,194.03,294.27,1.52,22.68,0.09,0.14
03-2018,2018,3,Castilla La Mancha,ALCACHOFAS,427.51,653.87,1.53,35.72,0.2,0.31
03-2018,2018,3,Castilla La Mancha,VERD./HORT. IV GAMA,1231.2,2649.31,2.15,70.23,0.59,1.26
03-2018,2018,3,Castilla Leon,TOTAL PATATAS,4537.59,3442.91,0.76,70.68,1.85,1.41
03-2018,2018,3,Castilla Leon,PATATAS FRESCAS,3442.49,2155.29,0.63,59.91,1.41,0.88
03-2018,2018,3,Castilla Leon,PATATAS CONGELADAS,125.32,171.56,1.37,7.4,0.05,0.07
03-2018,2018,3,Castilla Leon,PATATAS PROCESADAS,193.96,1116.06,5.75,36.23,0.08,0.46
03-2018,2018,3,Castilla Leon,T.HORTALIZAS FRESCAS,8873.43,15699.99,1.77,94.57,3.63,6.42
03-2018,2018,3,Castilla Leon,TOMATES,1646.86,2561.66,1.56,74.56,0.67,1.05
03-2018,2018,3,Castilla Leon,CEBOLLAS,957.87,1081.91,1.13,57.14,0.39,0.44
03-2018,2018,3,Castilla Leon,AJOS,114.41,446.77,3.9,30.61,0.05,0.18
03-2018,2018,3,Castilla Leon,COLES,354.89,379.06,1.07,22.72,0.15,0.15
03-2018,2018,3,Castilla Leon,PEPINOS,174.53,282.04,1.62,16.93,0.07,0.12
03-2018,2018,3,Castilla Leon,JUDIAS VERDES,222.73,660.4,2.97,19.26,0.09,0.27
03-2018,2018,3,Castilla Leon,PIMIENTOS,910.2,1755.0,1.93,69.68,0.37,0.72
03-2018,2018,3,Castilla Leon,CHAMPIÑONES+O.SETAS,269.55,1017.82,3.78,32.66,0.11,0.42
03-2018,2018,3,Castilla Leon,LECHUGA/ESC./ENDIVIA,639.77,1589.56,2.48,56.7,0.26,0.65
03-2018,2018,3,Castilla Leon,ESPARRAGOS,63.79,146.26,2.29,5.63,0.03,0.06
03-2018,2018,3,Castilla Leon,VERDURAS DE HOJA,160.5,438.98,2.74,24.7,0.07,0.18
03-2018,2018,3,Castilla Leon,BERENJENAS,157.01,231.75,1.48,19.39,0.06,0.09
03-2018,2018,3,Castilla Leon,ZANAHORIAS,686.71,560.06,0.82,54.97,0.28,0.23
03-2018,2018,3,Castilla Leon,CALABACINES,803.46,1054.7,1.31,47.44,0.33,0.43
03-2018,2018,3,Castilla Leon,OTR.HORTALIZAS/VERD.,1711.14,3494.03,2.04,74.52,0.7,1.43
03-2018,2018,3,Castilla Leon,BROCOLI,196.59,331.37,1.69,21.88,0.08,0.14
03-2018,2018,3,Castilla Leon,ALCACHOFAS,266.11,443.21,1.67,20.56,0.11,0.18
03-2018,2018,3,Castilla Leon,VERD./HORT. IV GAMA,1210.85,3006.33,2.48,58.66,0.49,1.23
03-2018,2018,3,Cataluña,TOTAL PATATAS,19622.32,17168.52,0.87,86.94,2.84,2.48
03-2018,2018,3,Cataluña,PATATAS FRESCAS,13038.2,9661.14,0.74,72.91,1.88,1.4
03-2018,2018,3,Cataluña,PATATAS CONGELADAS,712.51,1065.19,1.49,15.97,0.1,0.15
03-2018,2018,3,Cataluña,PATATAS PROCESADAS,1174.32,6442.19,5.49,58.34,0.17,0.93
03-2018,2018,3,Cataluña,T.HORTALIZAS FRESCAS,44416.7,81759.89,1.84,97.76,6.42,11.82
03-2018,2018,3,Cataluña,TOMATES,8788.52,14996.5,1.71,84.62,1.27,2.17
03-2018,2018,3,Cataluña,CEBOLLAS,5336.77,6083.16,1.14,75.54,0.77,0.88
03-2018,2018,3,Cataluña,AJOS,441.01,1871.06,4.24,38.63,0.06,0.27
03-2018,2018,3,Cataluña,COLES,1304.16,1480.37,1.14,27.45,0.19,0.21
03-2018,2018,3,Cataluña,PEPINOS,1003.93,1568.76,1.56,25.06,0.15,0.23
03-2018,2018,3,Cataluña,JUDIAS VERDES,1493.92,5201.33,3.48,41.06,0.22,0.75
03-2018,2018,3,Cataluña,PIMIENTOS,3121.43,5951.95,1.91,64.82,0.45,0.86
03-2018,2018,3,Cataluña,CHAMPIÑONES+O.SETAS,864.28,3417.23,3.95,36.83,0.12,0.49
03-2018,2018,3,Cataluña,LECHUGA/ESC./ENDIVIA,2548.61,7642.41,3.0,63.4,0.37,1.1
03-2018,2018,3,Cataluña,ESPARRAGOS,900.1,1424.63,1.58,13.82,0.13,0.21
03-2018,2018,3,Cataluña,VERDURAS DE HOJA,1118.57,2774.19,2.48,33.23,0.16,0.4
03-2018,2018,3,Cataluña,BERENJENAS,1437.96,2477.93,1.72,43.08,0.21,0.36
03-2018,2018,3,Cataluña,ZANAHORIAS,2085.12,1979.86,0.95,52.58,0.3,0.29
03-2018,2018,3,Cataluña,CALABACINES,2582.45,3702.8,1.43,52.78,0.37,0.54
03-2018,2018,3,Cataluña,OTR.HORTALIZAS/VERD.,11389.87,21187.72,1.86,85.49,1.65,3.06
03-2018,2018,3,Cataluña,BROCOLI,1230.23,1635.9,1.33,28.72,0.18,0.24
03-2018,2018,3,Cataluña,ALCACHOFAS,4166.89,6638.24,1.59,50.86,0.6,0.96
03-2018,2018,3,Cataluña,VERD./HORT. IV GAMA,4659.84,12432.19,2.67,68.81,0.67,1.8
03-2018,2018,3,Extremadura,TOTAL PATATAS,2254.48,1825.84,0.81,81.14,1.91,1.55
03-2018,2018,3,Extremadura,PATATAS FRESCAS,1424.58,879.36,0.62,72.39,1.21,0.75
03-2018,2018,3,Extremadura,PATATAS CONGELADAS,109.43,150.32,1.37,12.95,0.09,0.13
03-2018,2018,3,Extremadura,PATATAS PROCESADAS,144.09,796.16,5.53,51.15,0.12,0.68
03-2018,2018,3,Extremadura,T.HORTALIZAS FRESCAS,4532.87,8213.68,1.81,98.83,3.84,6.97
03-2018,2018,3,Extremadura,TOMATES,1049.03,1607.08,1.53,82.96,0.89,1.36
03-2018,2018,3,Extremadura,CEBOLLAS,564.27,629.73,1.12,71.06,0.48,0.53
03-2018,2018,3,Extremadura,AJOS,92.04,354.72,3.85,61.61,0.08,0.3
03-2018,2018,3,Extremadura,COLES,135.42,154.78,1.14,18.21,0.11,0.13
03-2018,2018,3,Extremadura,PEPINOS,88.63,126.22,1.42,19.33,0.08,0.11
03-2018,2018,3,Extremadura,JUDIAS VERDES,113.96,362.95,3.18,18.31,0.1,0.31
03-2018,2018,3,Extremadura,PIMIENTOS,351.7,638.62,1.82,63.16,0.3,0.54
03-2018,2018,3,Extremadura,CHAMPIÑONES+O.SETAS,76.57,319.79,4.18,27.09,0.06,0.27
03-2018,2018,3,Extremadura,LECHUGA/ESC./ENDIVIA,193.12,704.97,3.65,51.72,0.16,0.6
03-2018,2018,3,Extremadura,ESPARRAGOS,28.56,79.39,2.78,11.15,0.02,0.07
03-2018,2018,3,Extremadura,VERDURAS DE HOJA,189.52,399.63,2.11,32.48,0.16,0.34
03-2018,2018,3,Extremadura,BERENJENAS,94.83,140.63,1.48,26.53,0.08,0.12
03-2018,2018,3,Extremadura,ZANAHORIAS,325.43,271.35,0.83,54.68,0.28,0.23
03-2018,2018,3,Extremadura,CALABACINES,302.24,399.94,1.32,40.83,0.26,0.34
03-2018,2018,3,Extremadura,OTR.HORTALIZAS/VERD.,927.56,2023.85,2.18,81.87,0.79,1.72
03-2018,2018,3,Extremadura,BROCOLI,202.2,477.69,2.36,25.9,0.17,0.41
03-2018,2018,3,Extremadura,ALCACHOFAS,180.85,304.83,1.69,24.86,0.15,0.26
03-2018,2018,3,Extremadura,VERD./HORT. IV GAMA,424.56,1330.14,3.13,70.5,0.36,1.13
03-2018,2018,3,Galicia,TOTAL PATATAS,7697.81,6268.65,0.81,66.06,2.78,2.26
03-2018,2018,3,Galicia,PATATAS FRESCAS,6259.54,4672.12,0.75,54.06,2.26,1.69
03-2018,2018,3,Galicia,PATATAS CONGELADAS,207.57,246.83,1.19,7.78,0.07,0.09
03-2018,2018,3,Galicia,PATATAS PROCESADAS,246.14,1349.7,5.48,36.7,0.09,0.49
03-2018,2018,3,Galicia,T.HORTALIZAS FRESCAS,10969.35,20018.13,1.82,96.03,3.96,7.23
03-2018,2018,3,Galicia,TOMATES,1969.52,3159.8,1.6,76.87,0.71,1.14
03-2018,2018,3,Galicia,CEBOLLAS,1387.08,1597.48,1.15,63.62,0.5,0.58
03-2018,2018,3,Galicia,AJOS,169.84,750.28,4.42,41.53,0.06,0.27
03-2018,2018,3,Galicia,COLES,735.61,727.01,0.99,33.33,0.27,0.26
03-2018,2018,3,Galicia,PEPINOS,145.4,208.84,1.44,9.65,0.05,0.08
03-2018,2018,3,Galicia,JUDIAS VERDES,280.34,895.42,3.19,25.51,0.1,0.32
03-2018,2018,3,Galicia,PIMIENTOS,810.24,1632.94,2.02,55.17,0.29,0.59
03-2018,2018,3,Galicia,CHAMPIÑONES+O.SETAS,245.95,965.13,3.92,29.98,0.09,0.35
